Date,Time,Open,High,Low,Close,Volume
2015.07.15,16:00,1.55854,1.55909,1.55811,1.55905,839
2015.07.15,16:05,1.55906,1.55911,1.55831,1.55890,684
2015.07.15,16:10,1.55889,1.55957,1.55885,1.55951,583
2015.07.15,16:15,1.55952,1.55955,1.55775,1.55826,829
2015.07.15,16:20,1.55821,1.55837,1.55757,1.55799,907
2015.07.15,16:25,1.55799,1.55948,1.55798,1.55922,774
2015.07.15,16:30,1.55920,1.56011,1.55911,1.56009,726
2015.07.15,16:35,1.56009,1.56110,1.56008,1.56075,913
2015.07.15,16:40,1.56073,1.56188,1.56073,1.56077,847
2015.07.15,16:45,1.56078,1.56100,1.56019,1.56056,596
2015.07.15,16:50,1.56056,1.56193,1.56018,1.56106,664
2015.07.15,16:55,1.56107,1.56202,1.56077,1.56155,716
2015.07.15,17:00,1.56159,1.56254,1.56092,1.56215,753
2015.07.15,17:05,1.56215,1.56281,1.56186,1.56258,592
2015.07.15,17:10,1.56257,1.56299,1.56216,1.56217,672
2015.07.15,17:15,1.56215,1.56220,1.56094,1.56107,671
2015.07.15,17:20,1.56106,1.56153,1.56098,1.56147,681
2015.07.15,17:25,1.56147,1.56155,1.56077,1.56082,590
2015.07.15,17:30,1.56082,1.56139,1.56082,1.56131,656
2015.07.15,17:35,1.56131,1.56216,1.56130,1.56186,628
2015.07.15,17:40,1.56185,1.56188,1.56150,1.56167,467
2015.07.15,17:45,1.56168,1.56168,1.56092,1.56102,594
2015.07.15,17:50,1.56101,1.56145,1.56071,1.56126,537
2015.07.15,17:55,1.56125,1.56198,1.56086,1.56198,495
2015.07.15,18:00,1.56197,1.56241,1.56115,1.56181,602
2015.07.15,18:05,1.56180,1.56242,1.56134,1.56217,479
2015.07.15,18:10,1.56217,1.56268,1.56209,1.56268,419
2015.07.15,18:15,1.56268,1.56362,1.56268,1.56323,572
2015.07.15,18:20,1.56318,1.56379,1.56316,1.56352,312
2015.07.15,18:25,1.56351,1.56368,1.56267,1.56361,528
2015.07.15,18:30,1.56361,1.56396,1.56312,1.56370,447
2015.07.15,18:35,1.56367,1.56444,1.56353,1.56420,594
2015.07.15,18:40,1.56418,1.56439,1.56343,1.56351,462
2015.07.15,18:45,1.56351,1.56392,1.56310,1.56327,527
2015.07.15,18:50,1.56330,1.56335,1.56250,1.56289,628
2015.07.15,18:55,1.56290,1.56320,1.56229,1.56267,511
2015.07.15,19:00,1.56268,1.56299,1.56249,1.56282,396
2015.07.15,19:05,1.56282,1.56330,1.56271,1.56293,426
2015.07.15,19:10,1.56295,1.56326,1.56289,1.56294,281
2015.07.15,19:15,1.56295,1.56299,1.56225,1.56230,382
2015.07.15,19:20,1.56225,1.56295,1.56201,1.56287,538
2015.07.15,19:25,1.56286,1.56308,1.56266,1.56283,382
2015.07.15,19:30,1.56295,1.56340,1.56278,1.56332,361
2015.07.15,19:35,1.56332,1.56385,1.56319,1.56385,326
2015.07.15,19:40,1.56384,1.56428,1.56376,1.56423,326
2015.07.15,19:45,1.56424,1.56446,1.56403,1.56421,329
2015.07.15,19:50,1.56422,1.56442,1.56402,1.56432,365
2015.07.15,19:55,1.56434,1.56461,1.56422,1.56444,279
2015.07.15,20:00,1.56445,1.56482,1.56392,1.56392,402
2015.07.15,20:05,1.56393,1.56417,1.56370,1.56375,206
2015.07.15,20:10,1.56376,1.56388,1.56359,1.56387,263
2015.07.15,20:15,1.56385,1.56394,1.56361,1.56365,219
2015.07.15,20:20,1.56366,1.56433,1.56360,1.56427,277
2015.07.15,20:25,1.56427,1.56427,1.56363,1.56376,391
2015.07.15,20:30,1.56376,1.56390,1.56343,1.56354,262
2015.07.15,20:35,1.56355,1.56376,1.56321,1.56335,326
2015.07.15,20:40,1.56334,1.56338,1.56292,1.56299,283
2015.07.15,20:45,1.56300,1.56336,1.56271,1.56335,282
2015.07.15,20:50,1.56335,1.56357,1.56328,1.56350,184
2015.07.15,20:55,1.56349,1.56361,1.56277,1.56283,390
2015.07.15,21:00,1.56283,1.56334,1.56267,1.56303,366
2015.07.15,21:05,1.56305,1.56337,1.56293,1.56322,332
2015.07.15,21:10,1.56324,1.56325,1.56302,1.56305,230
2015.07.15,21:15,1.56305,1.56314,1.56294,1.56312,185
2015.07.15,21:20,1.56313,1.56315,1.56278,1.56297,272
2015.07.15,21:25,1.56300,1.56310,1.56254,1.56278,326
2015.07.15,21:30,1.56278,1.56302,1.56271,1.56300,256
2015.07.15,21:35,1.56300,1.56303,1.56284,1.56288,155
2015.07.15,21:40,1.56288,1.56317,1.56288,1.56313,148
2015.07.15,21:45,1.56310,1.56324,1.56278,1.56311,213
2015.07.15,21:50,1.56311,1.56358,1.56309,1.56358,250
2015.07.15,21:55,1.56359,1.56412,1.56354,1.56392,285
2015.07.15,22:00,1.56390,1.56413,1.56373,1.56393,270
2015.07.15,22:05,1.56393,1.56394,1.56363,1.56377,181
2015.07.15,22:10,1.56378,1.56401,1.56378,1.56389,168
2015.07.15,22:15,1.56387,1.56387,1.56363,1.56367,125
2015.07.15,22:20,1.56364,1.56371,1.56359,1.56359,115
2015.07.15,22:25,1.56362,1.56371,1.56359,1.56370,80
2015.07.15,22:30,1.56371,1.56372,1.56363,1.56371,88
2015.07.15,22:35,1.56371,1.56371,1.56347,1.56353,285
2015.07.15,22:40,1.56354,1.56369,1.56341,1.56364,311
2015.07.15,22:45,1.56365,1.56369,1.56326,1.56331,347
2015.07.15,22:50,1.56331,1.56389,1.56330,1.56378,297
2015.07.15,22:55,1.56373,1.56404,1.56333,1.56333,369
2015.07.15,23:00,1.56349,1.56378,1.56298,1.56372,44
2015.07.15,23:05,1.56373,1.56406,1.56363,1.56374,79
2015.07.15,23:10,1.56374,1.56391,1.56359,1.56381,100
2015.07.15,23:15,1.56380,1.56383,1.56361,1.56361,69
2015.07.15,23:20,1.56358,1.56374,1.56315,1.56317,93
2015.07.15,23:25,1.56316,1.56322,1.56307,1.56318,45
2015.07.15,23:30,1.56318,1.56318,1.56309,1.56311,15
2015.07.15,23:35,1.56310,1.56321,1.56306,1.56310,42
2015.07.15,23:40,1.56310,1.56331,1.56310,1.56323,72
2015.07.15,23:45,1.56323,1.56342,1.56321,1.56321,68
2015.07.15,23:50,1.56321,1.56333,1.56308,1.56317,117
2015.07.15,23:55,1.56317,1.56356,1.56312,1.56317,93
2015.07.16,00:00,1.56352,1.56361,1.56316,1.56316,339
2015.07.16,00:05,1.56316,1.56332,1.56303,1.56303,117
2015.07.16,00:10,1.56303,1.56340,1.56303,1.56333,133
2015.07.16,00:15,1.56334,1.56359,1.56324,1.56353,95
2015.07.16,00:20,1.56354,1.56363,1.56353,1.56357,198
2015.07.16,00:25,1.56357,1.56370,1.56351,1.56366,209
2015.07.16,00:30,1.56366,1.56370,1.56365,1.56368,156
2015.07.16,00:35,1.56369,1.56372,1.56367,1.56369,188
2015.07.16,00:40,1.56369,1.56369,1.56325,1.56331,112
2015.07.16,00:45,1.56329,1.56338,1.56309,1.56326,416
2015.07.16,00:50,1.56328,1.56346,1.56310,1.56329,461
2015.07.16,00:55,1.56329,1.56388,1.56329,1.56354,460
